,,,,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
league,season,team,player,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Enzo Fernández,ARG,MF,23,2001,32.7,1900,1757,134,53,14,26,109,4,74,44,12,1,1518,9,46
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22,2002,6.0,189,169,20,2,0,0,0,0,0,0,0,0,158,0,0
ENG-Premier League,2425,Chelsea,Jadon Sancho,ENG,FW,24,2000,19.6,803,791,11,1,7,1,25,9,1,1,0,0,663,1,24
ENG-Premier League,2425,Chelsea,Joshua Acheampong,ENG,DF,18,2006,1.9,124,121,3,2,0,0,0,1,0,0,0,0,104,0,2
ENG-Premier League,2425,Chelsea,João Félix,POR,"FW,MF",24,1999,4.1,199,193,5,2,2,1,0,3,0,0,0,0,171,1,5
ENG-Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,ENG,"MF,FW",25,1998,2.9,152,147,4,1,0,1,2,0,2,0,0,1,127,1,2
ENG-Premier League,2425,Chelsea,Levi Colwill,ENG,DF,21,2003,35.0,2619,2418,197,91,3,7,13,7,0,0,0,0,2338,4,21
ENG-Premier League,2425,Chelsea,Malo Gusto,FRA,DF,21,2003,20.7,1385,1230,153,37,2,3,53,116,0,0,0,0,1198,2,26
ENG-Premier League,2425,Chelsea,Marc Cucurella,ESP,DF,26,1998,33.2,1916,1634,275,28,2,1,31,245,2,0,0,0,1680,7,23
ENG-Premier League,2425,Chelsea,Marc Guiu,ESP,FW,18,2006,0.8,16,14,2,0,0,0,0,0,0,0,0,0,11,0,0
ENG-Premier League,2425,Chelsea,Mathis Amougou,FRA,MF,18,2006,0.1,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0
ENG-Premier League,2425,Chelsea,Moisés Caicedo,ECU,"MF,DF",22,2001,37.2,2194,2116,74,47,12,13,10,27,0,0,0,0,1967,4,20
ENG-Premier League,2425,Chelsea,Mykhailo Mudryk,UKR,FW,23,2001,1.7,42,40,2,0,1,0,7,0,2,0,0,0,28,0,1
ENG-Premier League,2425,Chelsea,Nicolas Jackson,SEN,FW,23,2001,24.7,399,385,12,1,1,0,3,4,0,0,0,0,303,2,15
ENG-Premier League,2425,Chelsea,Noni Madueke,ENG,FW,22,2002,22.6,685,660,20,1,1,4,63,18,1,0,0,0,530,5,15
ENG-Premier League,2425,Chelsea,Pedro Neto,POR,FW,24,2000,25.2,895,807,86,14,0,5,149,13,56,16,15,5,702,2,26
ENG-Premier League,2425,Chelsea,Reece James,ENG,"DF,MF",24,1999,11.8,854,731,119,36,4,2,43,64,19,11,5,1,717,4,10
ENG-Premier League,2425,Chelsea,Renato Veiga,POR,"DF,MF",21,2003,2.0,139,127,12,5,0,0,0,7,0,0,0,0,118,0,1
ENG-Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,26,1997,32.0,1249,1086,156,74,0,6,0,0,0,0,0,0,871,7,1
ENG-Premier League,2425,Chelsea,Roméo Lavia,BEL,MF,20,2004,8.9,424,419,3,3,3,3,0,0,0,0,0,0,389,2,1
ENG-Premier League,2425,Chelsea,Shumaira Mheuka,ENG,MF,16,2007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Tosin Adarabioyo,ENG,DF,26,1997,15.7,1184,1142,39,23,2,3,0,4,0,0,0,0,1079,3,3
ENG-Premier League,2425,Chelsea,Trevoh Chalobah,ENG,DF,25,1999,10.1,677,654,23,11,1,2,3,10,0,0,0,0,609,0,3
ENG-Premier League,2425,Chelsea,Tyrique George,ENG,FW,18,2006,2.0,54,53,1,0,0,0,3,1,0,0,0,0,43,0,2
ENG-Premier League,2425,Chelsea,Wesley Fofana,FRA,DF,23,2000,13.0,803,758,44,23,0,0,1,20,0,0,0,0,724,1,4
ENG-Premier League,2425,Crystal Palace,Adam Wharton,ENG,MF,20,2004,14.6,725,678,40,14,5,1,39,0,26,19,1,0,548,7,12
ENG-Premier League,2425,Crystal Palace,Asher Agbinone,ENG,MF,18,2005,0.1,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0
ENG-Premier League,2425,Crystal Palace,Ben Chilwell,ENG,DF,27,1996,2.9,125,95,30,6,1,0,7,24,0,0,0,0,92,0,4
ENG-Premier League,2425,Crystal Palace,Caleb Kporha,ENG,DF,18,2006,0.1,7,6,1,0,0,0,2,1,0,0,0,0,5,0,0
ENG-Premier League,2425,Crystal Palace,Chadi Riad,MAR,DF,21,2003,1.0,82,82,0,0,0,1,0,0,0,0,0,0,70,0,2
ENG-Premier League,2425,Crystal Palace,Cheick Doucouré,MLI,MF,24,2000,5.0,204,201,3,3,0,0,1,0,0,0,0,0,174,0,4
ENG-Premier League,2425,Crystal Palace,Chris Richards,USA,DF,24,2000,21.4,857,818,37,18,2,5,5,17,0,0,0,0,684,2,13
ENG-Premier League,2425,Crystal Palace,Daichi Kamada,JPN,MF,27,1996,17.4,752,720,31,11,4,5,31,2,16,11,1,0,603,1,18
ENG-Premier League,2425,Crystal Palace,Daniel Muñoz,COL,DF,28,1996,35.9,1492,1182,304,27,2,2,74,275,2,0,0,0,1129,6,39
ENG-Premier League,2425,Crystal Palace,Dean Henderson,ENG,GK,27,1997,38.0,1216,842,373,100,0,0,0,0,0,0,0,0,745,1,1
ENG-Premier League,2425,Crystal Palace,Eberechi Eze,ENG,"MF,FW",26,1998,28.8,1047,849,180,70,11,6,112,3,62,39,10,0,777,18,17
ENG-Premier League,2425,Crystal Palace,Eddie Nketiah,ENG,"FW,MF",25,1999,11.5,241,229,12,0,2,0,5,1,0,0,0,0,179,0,12
ENG-Premier League,2425,Crystal Palace,Ismaila Sarr,SEN,MF,26,1998,30.1,742,735,2,0,13,1,55,2,0,0,0,0,490,5,26
ENG-Premier League,2425,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27,1997,29.4,447,438,8,0,7,0,26,0,0,0,0,0,291,1,17
ENG-Premier League,2425,Crystal Palace,Jefferson Lerma,COL,"MF,DF",29,1994,25.3,1121,1052,61,13,9,8,12,46,0,0,0,0,844,8,22
ENG-Premier League,2425,Crystal Palace,Jeffrey Schlupp,GHA,"MF,DF",31,1992,1.1,50,47,3,0,0,0,4,3,0,0,0,0,39,0,0
ENG-Premier League,2425,Crystal Palace,Joachim Andersen,DEN,DF,28,1996,1.0,83,81,2,1,0,0,1,0,1,0,0,0,61,0,0
ENG-Premier League,2425,Crystal Palace,Joel Ward,ENG,DF,34,1989,0.8,24,24,0,0,0,0,0,0,0,0,0,0,14,0,1
ENG-Premier League,2425,Crystal Palace,Jordan Ayew,GHA,"FW,MF",32,1991,0.2,10,8,2,0,0,1,1,0,1,1,0,0,8,0,0
ENG-Premier League,2425,Crystal Palace,Justin Devenny,NIR,MF,20,2003,5.6,205,184,19,7,1,1,17,0,9,4,4,0,148,2,2
ENG-Premier League,2425,Crystal Palace,Marc Guéhi,ENG,DF,24,2000,34.0,1765,1664,95,76,7,14,13,6,0,0,0,0,1473,6,9
ENG-Premier League,2425,Crystal Palace,Matheus França,BRA,"MF,FW",20,2004,0.6,17,14,1,0,0,0,1,0,0,0,0,0,10,2,1
ENG-Premier League,2425,Crystal Palace,Maxence Lacroix,FRA,DF,24,2000,34.6,1477,1433,44,40,3,7,7,2,0,0,0,0,1207,0,12
ENG-Premier League,2425,Crystal Palace,Nathaniel Clyne,ENG,"DF,MF",33,1991,5.4,225,207,16,1,1,1,7,13,0,0,0,0,171,2,8
ENG-Premier League,2425,Crystal Palace,Odsonne Édouard,FRA,"MF,FW",26,1998,1.3,28,28,0,0,0,0,1,0,0,0,0,0,17,0,2
ENG-Premier League,2425,Crystal Palace,Romain Esse,ENG,MF,19,2005,1.5,42,42,0,0,1,0,0,0,0,0,0,0,32,0,1
ENG-Premier League,2425,Crystal Palace,Trevoh Chalobah,ENG,DF,25,1999,11.8,442,426,16,11,1,2,7,5,0,0,0,0,349,0,7
ENG-Premier League,2425,Crystal Palace,Tyrick Mitchell,ENG,DF,24,1999,34.4,1355,1122,228,8,0,2,105,220,0,0,0,0,976,5,61
ENG-Premier League,2425,Crystal Palace,Will Hughes,ENG,MF,29,1995,23.4,970,856,106,34,1,2,71,1,54,41,2,0,737,8,11
ENG-Premier League,2425,Everton,Abdoulaye Doucouré,MLI,MF,31,1993,28.5,903,884,14,5,0,2,23,0,0,0,0,0,725,5,27
ENG-Premier League,2425,Everton,Armando Broja,ALB,FW,22,2001,3.7,73,72,0,0,0,0,1,0,0,0,0,0,53,1,1
ENG-Premier League,2425,Everton,Ashley Young,ENG,DF,39,1985,20.8,999,770,222,25,3,4,75,180,15,8,6,0,708,7,20
ENG-Premier League,2425,Everton,Beto,GNB,FW,26,1998,17.0,268,264,4,0,1,2,4,0,1,0,0,0,156,0,13
ENG-Premier League,2425,Everton,Carlos Alcaraz,ARG,"FW,MF",21,2002,8.5,278,265,12,2,1,2,11,6,3,2,1,0,224,1,10
ENG-Premier League,2425,Everton,Dominic Calvert-Lewin,ENG,FW,27,1997,17.9,289,287,2,0,0,1,6,1,0,0,0,0,181,0,12
ENG-Premier League,2425,Everton,Dwight McNeil,ENG,"MF,FW",24,1999,15.2,619,516,99,32,8,5,105,5,45,32,5,4,461,4,16
ENG-Premier League,2425,Everton,Harrison Armstrong,ENG,MF,17,2007,0.5,15,13,1,0,0,0,1,0,0,0,0,0,7,1,0
ENG-Premier League,2425,Everton,Idrissa Gana Gueye,SEN,MF,34,1989,34.0,1422,1388,27,7,2,7,7,7,0,0,0,0,1230,7,22
ENG-Premier League,2425,Everton,Iliman Ndiaye,SEN,FW,24,2000,27.0,736,709,25,5,2,2,38,5,10,4,0,2,602,2,22
ENG-Premier League,2425,Everton,Jack Harrison,ENG,FW,27,1996,23.1,659,588,64,23,4,2,131,8,32,27,0,1,414,7,33
ENG-Premier League,2425,Everton,Jake O'Brien,IRL,DF,23,2001,17.5,725,602,121,5,0,1,18,100,0,0,0,0,577,2,12
ENG-Premier League,2425,Everton,James Garner,ENG,"MF,DF",23,2001,17.7,803,687,110,17,2,2,57,42,23,16,4,2,611,6,23
ENG-Premier League,2425,Everton,James Tarkowski,ENG,DF,31,1992,32.5,1290,1204,77,46,2,13,1,3,0,0,0,0,1045,9,12
ENG-Premier League,2425,Everton,Jarrad Branthwaite,ENG,DF,22,2002,27.9,1198,1141,51,38,1,17,5,3,0,0,0,0,984,6,7
ENG-Premier League,2425,Everton,Jesper Lindstrøm,DEN,FW,24,2000,13.8,428,383,42,11,1,0,71,6,25,12,8,2,297,3,18
ENG-Premier League,2425,Everton,Jordan Pickford,ENG,GK,30,1994,38.0,1595,1167,419,188,0,7,0,0,0,0,0,0,1057,9,0
ENG-Premier League,2425,Everton,Mason Holgate,JAM,"FW,DF",27,1996,0.1,2,0,2,0,0,0,0,2,0,0,0,0,2,0,0
ENG-Premier League,2425,Everton,Michael Keane,ENG,DF,31,1993,11.7,377,365,8,4,0,12,1,0,0,0,0,0,312,4,7
ENG-Premier League,2425,Everton,Nathan Patterson,SCO,DF,22,2001,3.9,176,134,42,0,1,0,14,42,0,0,0,0,130,0,0
ENG-Premier League,2425,Everton,Orel Mangala,BEL,MF,26,1998,14.0,490,485,4,3,0,1,6,0,0,0,0,0,437,1,10
ENG-Premier League,2425,Everton,Roman Dixon,ENG,DF,19,2004,1.0,19,16,3,0,0,0,0,3,0,0,0,0,11,0,0
ENG-Premier League,2425,Everton,Séamus Coleman,IRL,DF,35,1988,2.4,98,78,19,0,0,0,4,19,0,0,0,0,74,1,2
ENG-Premier League,2425,Everton,Tim Iroegbunam,ENG,MF,21,2003,6.4,158,156,0,0,0,0,1,0,0,0,0,0,115,2,5
ENG-Premier League,2425,Everton,Vitaliy Mykolenko,UKR,DF,25,1999,34.2,1322,1060,259,13,2,3,101,246,0,0,0,0,986,3,23
ENG-Premier League,2425,Everton,Youssef Chermiti,POR,"FW,MF",20,2004,0.5,11,11,0,0,0,0,1,0,0,0,0,0,6,0,0
ENG-Premier League,2425,Fulham,Adama Traoré,ESP,"FW,MF",28,1996,19.7,587,584,1,0,6,2,100,1,0,0,0,0,424,2,19
ENG-Premier League,2425,Fulham,Alex Iwobi,NGA,"FW,MF",28,1996,33.1,1532,1487,39,7,15,21,126,24,2,0,1,0,1150,6,52
ENG-Premier League,2425,Fulham,Andreas Pereira,BRA,MF,28,1996,22.4,970,761,205,50,5,8,171,9,109,53,47,0,670,4,26
ENG-Premier League,2425,Fulham,Antonee Robinson,USA,DF,26,1997,35.2,2076,1781,289,17,1,5,170,272,0,0,0,0,1595,6,47
ENG-Premier League,2425,Fulham,Bernd Leno,GER,GK,32,1992,38.0,1404,1160,243,71,0,0,0,0,0,0,0,0,1149,1,1
ENG-Premier League,2425,Fulham,Calvin Bassey,NGA,DF,24,1999,34.2,2155,2025,128,48,0,10,8,8,0,0,0,0,1934,2,17
ENG-Premier League,2425,Fulham,Carlos Vinícius,BRA,"MF,FW",29,1995,0.2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1
ENG-Premier League,2425,Fulham,Emile Smith Rowe,ENG,MF,24,2000,22.7,1023,985,35,6,2,2,16,3,1,0,0,0,922,3,18
ENG-Premier League,2425,Fulham,Harrison Reed,ENG,MF,29,1995,1.2,55,46,8,5,0,0,6,0,1,0,1,0,39,1,3
ENG-Premier League,2425,Fulham,Harry Wilson,WAL,"FW,MF",27,1997,12.9,445,393,51,16,1,5,41,4,27,14,6,1,326,1,6
ENG-Premier League,2425,Fulham,Issa Diop,FRA,DF,27,1997,14.9,758,733,25,21,0,1,1,2,0,0,0,0,663,0,2
ENG-Premier League,2425,Fulham,Jay Stansfield,ENG,MF,21,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Fulham,Joachim Andersen,DEN,DF,28,1996,28.7,2000,1891,102,81,0,35,12,9,0,0,0,0,1654,7,8
ENG-Premier League,2425,Fulham,Jorge Cuenca,ESP,DF,24,1999,3.9,173,160,13,4,0,0,1,2,0,0,0,0,145,0,0
ENG-Premier League,2425,Fulham,Joshua King,ENG,MF,17,2007,1.4,64,63,1,0,0,1,2,0,0,0,0,0,54,0,3
ENG-Premier League,2425,Fulham,Kenny Tete,NED,DF,28,1995,19.7,956,799,153,6,1,2,38,147,0,0,0,0,772,4,23
ENG-Premier League,2425,Fulham,Martial Godo,ENG,"FW,DF",21,2003,0.3,17,15,2,0,0,0,1,2,0,0,0,0,12,0,2
ENG-Premier League,2425,Fulham,Raúl Jiménez,MEX,FW,33,1991,27.7,643,635,7,3,3,5,23,4,0,0,0,0,458,1,28
ENG-Premier League,2425,Fulham,Reiss Nelson,ENG,FW,24,1999,5.4,268,261,6,0,2,2,23,1,5,3,1,0,232,1,2
ENG-Premier League,2425,Fulham,Rodrigo Muniz,BRA,FW,23,2001,10.7,142,135,6,1,3,2,1,0,0,0,0,0,92,1,4
ENG-Premier League,2425,Fulham,Ryan Sessegnon,ENG,"FW,DF",24,2000,6.4,241,226,15,0,0,0,16,13,1,0,0,0,189,0,9
ENG-Premier League,2425,Fulham,Sander Berge,NOR,MF,26,1998,24.7,1193,1152,41,40,3,7,3,1,0,0,0,0,1091,0,8
ENG-Premier League,2425,Fulham,Saša Lukić,SRB,MF,27,1996,26.0,1260,1171,87,38,1,4,62,1,42,12,24,0,1100,2,23
ENG-Premier League,2425,Fulham,Timothy Castagne,BEL,DF,28,1995,18.3,953,813,140,10,0,1,37,130,0,0,0,0,780,0,26
ENG-Premier League,2425,Fulham,Tom Cairney,SCO,MF,33,1991,7.0,627,602,25,11,0,2,20,1,8,3,3,0,569,0,8
ENG-Premier League,2425,Fulham,Willian,BRA,"FW,MF",35,1988,2.9,208,196,11,2,0,4,16,2,7,3,4,0,178,1,1
ENG-Premier League,2425,Ipswich Town,Alex Palmer,ENG,GK,27,1996,13.0,423,287,136,42,0,0,0,0,0,0,0,0,299,0,1
ENG-Premier League,2425,Ipswich Town,Ali Al Hamadi,IRQ,FW,22,2002,1.5,30,30,0,0,0,0,0,0,0,0,0,0,25,0,1
ENG-Premier League,2425,Ipswich Town,Arijanet Muric,KVX,GK,25,1998,18.0,633,485,143,49,0,3,0,0,0,0,0,0,454,5,0
ENG-Premier League,2425,Ipswich Town,Axel Tuanzebe,COD,DF,26,1997,19.0,814,651,163,30,0,1,10,133,0,0,0,0,682,0,14
ENG-Premier League,2425,Ipswich Town,Ben Godfrey,ENG,DF,26,1998,1.8,57,49,8,1,0,0,0,7,0,0,0,0,47,0,3
ENG-Premier League,2425,Ipswich Town,Ben Johnson,ENG,"DF,FW",24,2000,15.0,416,333,82,11,2,4,37,58,13,11,1,0,298,1,23
ENG-Premier League,2425,Ipswich Town,Cameron Burgess,AUS,DF,28,1995,17.1,774,710,60,28,1,1,0,0,0,0,0,0,626,4,7
ENG-Premier League,2425,Ipswich Town,Chiedozie Ogbene,IRL,FW,27,1997,2.6,43,43,0,0,0,0,4,0,0,0,0,0,32,0,5
ENG-Premier League,2425,Ipswich Town,Christian Walton,ENG,GK,28,1995,7.0,255,185,70,19,0,0,0,0,0,0,0,0,177,0,0
ENG-Premier League,2425,Ipswich Town,Conor Chaplin,ENG,"MF,FW",27,1997,9.5,319,282,37,3,10,1,9,4,0,0,0,0,235,0,5
ENG-Premier League,2425,Ipswich Town,Conor Townsend,ENG,DF,31,1993,3.7,127,98,28,4,1,0,12,20,4,3,1,0,80,1,3
ENG-Premier League,2425,Ipswich Town,Dara O'Shea,IRL,DF,25,1999,34.7,1579,1473,100,30,0,14,8,63,0,0,0,0,1234,6,12
ENG-Premier League,2425,Ipswich Town,George Edmundson,ENG,DF,26,1997,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1
ENG-Premier League,2425,Ipswich Town,George Hirst,SCO,FW,25,1999,7.3,122,121,0,0,0,0,3,0,0,0,0,0,69,1,5
ENG-Premier League,2425,Ipswich Town,Harry Clarke,ENG,DF,23,2001,4.2,236,211,25,2,1,0,5,23,0,0,0,0,190,0,4
ENG-Premier League,2425,Ipswich Town,Jack Clarke,ENG,"FW,MF",23,2000,13.1,393,372,19,2,1,3,13,8,7,5,0,0,302,2,18
ENG-Premier League,2425,Ipswich Town,Jack Taylor,IRL,MF,26,1998,9.6,421,411,10,2,2,3,7,0,3,3,0,0,349,0,5
ENG-Premier League,2425,Ipswich Town,Jacob Greaves,ENG,DF,23,2000,24.5,1121,1041,78,30,0,0,1,23,0,0,0,0,962,2,4
ENG-Premier League,2425,Ipswich Town,Jaden Philogene Bidace,ENG,"FW,DF",22,2002,5.3,131,129,1,0,0,1,13,1,0,0,0,0,95,1,5
ENG-Premier League,2425,Ipswich Town,Jens Cajuste,SWE,MF,24,1999,21.8,783,719,64,23,1,5,10,41,0,0,0,0,647,0,12
ENG-Premier League,2425,Ipswich Town,Julio Enciso,PAR,"MF,FW",20,2004,9.7,248,210,37,8,4,0,21,2,13,11,1,0,171,1,11
ENG-Premier League,2425,Ipswich Town,Kalvin Phillips,ENG,MF,28,1995,13.7,551,510,40,27,1,6,20,2,11,8,2,1,436,1,9
ENG-Premier League,2425,Ipswich Town,Leif Davis,ENG,DF,24,2000,30.5,1284,970,307,61,3,5,161,166,80,56,13,0,919,7,23
ENG-Premier League,2425,Ipswich Town,Liam Delap,ENG,FW,21,2003,28.8,357,350,5,0,8,1,5,2,0,0,0,0,219,2,16
ENG-Premier League,2425,Ipswich Town,Luke Woolfenden,ENG,DF,25,1998,13.2,562,547,13,9,0,2,0,1,0,0,0,0,496,2,2
ENG-Premier League,2425,Ipswich Town,Marcus Harness,ENG,MF,28,1996,0.5,16,16,0,0,0,0,0,0,0,0,0,0,10,0,1
ENG-Premier League,2425,Ipswich Town,Massimo Luongo,AUS,MF,31,1992,2.2,66,64,1,1,0,1,1,0,0,0,0,0,50,1,1
ENG-Premier League,2425,Ipswich Town,Nathan Broadhead,WAL,"MF,FW",26,1998,7.8,228,218,10,0,3,1,9,2,3,3,0,0,178,0,11
ENG-Premier League,2425,Ipswich Town,Omari Hutchinson,ENG,"MF,FW",20,2003,28.7,885,807,70,1,4,2,81,8,5,5,0,0,690,8,39
ENG-Premier League,2425,Ipswich Town,Sam Morsy,EGY,MF,32,1991,30.6,1445,1388,50,49,2,5,15,0,0,0,0,0,1249,7,22
ENG-Premier League,2425,Ipswich Town,Sammie Szmodics,IRL,"FW,MF",28,1995,11.0,201,190,11,1,0,0,14,0,6,6,0,0,149,0,13
ENG-Premier League,2425,Ipswich Town,Wes Burns,WAL,"FW,DF",29,1994,10.3,253,244,9,1,0,1,46,8,0,0,0,0,153,0,24
ENG-Premier League,2425,Leicester City,Abdul Fatawu Issahaku,GHA,FW,20,2004,6.4,197,186,11,1,2,2,30,9,1,0,0,0,123,0,18
ENG-Premier League,2425,Leicester City,Bilal El Khannouss,MAR,"MF,FW",20,2004,24.2,1063,928,130,28,11,8,89,14,36,19,10,1,798,5,26
ENG-Premier League,2425,Leicester City,Bobby De Cordova-Reid,JAM,FW,31,1993,8.3,206,198,8,1,0,0,15,6,0,0,0,0,145,0,15
ENG-Premier League,2425,Leicester City,Boubakary Soumaré,FRA,MF,25,1999,24.1,1234,1220,11,8,3,1,10,3,0,0,0,0,1073,3,15
ENG-Premier League,2425,Leicester City,Caleb Okoli,ITA,DF,23,2001,12.5,648,597,51,21,1,3,1,4,0,0,0,0,559,0,8
ENG-Premier League,2425,Leicester City,Conor Coady,ENG,DF,31,1993,19.0,1072,1010,58,29,2,3,0,1,0,0,0,0,977,4,4
ENG-Premier League,2425,Leicester City,Danny Ward,WAL,GK,31,1993,1.5,53,46,7,0,0,0,0,0,0,0,0,0,41,0,0
ENG-Premier League,2425,Leicester City,Facundo Buonanotte,ARG,"FW,MF",19,2004,16.9,572,501,67,24,7,4,43,10,26,19,1,0,437,4,9
ENG-Premier League,2425,Leicester City,Hamza Choudhury,BAN,"MF,DF",26,1997,1.5,84,81,3,0,0,0,5,3,0,0,0,0,72,0,1
ENG-Premier League,2425,Leicester City,Harry Winks,ENG,MF,28,1996,17.1,1045,981,61,35,4,2,34,5,16,11,3,0,910,3,11
ENG-Premier League,2425,Leicester City,Jake Evans,,FW,,,0.3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
ENG-Premier League,2425,Leicester City,Jakub Stolarczyk,POL,GK,23,2000,10.0,386,286,100,42,0,1,0,0,0,0,0,0,238,0,1
ENG-Premier League,2425,Leicester City,James Justin,ENG,DF,26,1998,32.4,1541,1268,270,22,1,2,57,248,0,0,0,0,1205,3,40
ENG-Premier League,2425,Leicester City,Jamie Vardy,ENG,FW,37,1987,31.4,389,335,47,0,1,1,11,0,0,0,0,0,258,7,15
ENG-Premier League,2425,Leicester City,Jannik Vestergaard,DEN,DF,31,1992,15.5,959,890,68,26,0,2,0,0,0,0,0,0,870,1,4
ENG-Premier League,2425,Leicester City,Jeremy Monga,,"FW,MF",15,2009,1.2,29,28,1,1,0,0,4,0,0,0,0,0,18,0,5
ENG-Premier League,2425,Leicester City,Jordan Ayew,GHA,"FW,MF",32,1991,18.2,540,490,49,13,3,2,60,5,28,15,8,3,401,1,11
ENG-Premier League,2425,Leicester City,Kasey McAteer,IRL,FW,22,2001,9.5,252,241,7,0,0,0,21,7,0,0,0,0,183,4,13
ENG-Premier League,2425,Leicester City,Luke Thomas,ENG,DF,23,2001,12.3,629,518,108,20,0,0,29,80,8,4,3,0,493,3,14
ENG-Premier League,2425,Leicester City,Mads Hermansen,DEN,GK,24,2000,26.5,1073,840,229,86,0,2,0,0,0,0,0,0,654,4,1
ENG-Premier League,2425,Leicester City,Michael Golding,ENG,MF,18,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Leicester City,Odsonne Édouard,FRA,FW,26,1998,0.3,8,8,0,0,0,0,0,0,0,0,0,0,6,0,1
ENG-Premier League,2425,Leicester City,Olabade Aluko,,DF,,,0.0,5,4,1,1,0,0,0,0,0,0,0,0,3,0,0
ENG-Premier League,2425,Leicester City,Oliver Skipp,ENG,MF,23,2000,12.5,502,497,4,3,2,0,5,1,0,0,0,0,419,1,12
ENG-Premier League,2425,Leicester City,Patson Daka,ZAM,"FW,MF",25,1998,8.2,147,138,9,0,2,0,3,6,0,0,0,0,106,0,11
ENG-Premier League,2425,Leicester City,Ricardo Pereira,POR,DF,30,1993,4.3,248,207,40,6,0,1,3,34,0,0,0,0,207,1,3
ENG-Premier League,2425,Leicester City,Stephy Mavididi,ENG,FW,26,1998,17.9,613,588,20,2,6,0,69,11,7,4,2,0,460,5,24
ENG-Premier League,2425,Leicester City,Victor Bernth Kristiansen,DEN,DF,21,2002,27.6,1321,1067,246,40,1,2,97,189,17,14,2,0,1023,8,24
ENG-Premier League,2425,Leicester City,Wilfred Ndidi,NGA,MF,27,1996,25.8,1045,1020,22,13,4,4,30,9,0,0,0,0,839,3,26
ENG-Premier League,2425,Leicester City,Will Alves,ENG,FW,19,2005,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ENG-Premier League,2425,Leicester City,Wout Faes,BEL,DF,26,1998,31.3,1564,1507,54,27,2,7,5,6,0,0,0,0,1376,3,7
ENG-Premier League,2425,Leicester City,Woyo Coulibaly,MLI,DF,25,1999,1.2,57,44,13,0,0,0,0,13,0,0,0,0,48,0,0
ENG-Premier League,2425,Liverpool,Alexis Mac Allister,ARG,MF,25,1998,28.9,1524,1403,116,35,6,3,86,9,71,26,36,0,1273,5,31
ENG-Premier League,2425,Liverpool,Alisson,BRA,GK,31,1992,27.9,959,836,121,41,1,1,0,0,0,0,0,0,794,2,1
ENG-Premier League,2425,Liverpool,Andrew Robertson,SCO,DF,30,1994,27.6,1885,1579,300,50,4,6,147,191,59,41,11,0,1559,6,35
ENG-Premier League,2425,Liverpool,Caoimhín Kelleher,IRL,GK,25,1998,10.0,382,344,38,20,0,0,0,0,0,0,0,0,289,0,1
ENG-Premier League,2425,Liverpool,Cody Gakpo,NED,FW,25,1999,21.5,634,616,16,4,3,4,74,11,1,0,0,0,480,2,10
ENG-Premier League,2425,Liverpool,Conor Bradley,NIR,DF,21,2003,8.4,544,471,71,13,0,2,7,58,0,0,0,0,456,2,12
ENG-Premier League,2425,Liverpool,Curtis Jones,ENG,"MF,DF",23,2001,19.0,1097,1037,58,11,2,2,8,28,1,0,0,0,1021,2,10
ENG-Premier League,2425,Liverpool,Darwin Núñez,URU,FW,25,1999,12.6,230,225,4,0,1,6,3,2,0,0,0,0,163,1,13
ENG-Premier League,2425,Liverpool,Diogo Jota,POR,FW,27,1996,13.3,310,305,3,0,1,2,8,1,0,0,0,0,216,2,15
ENG-Premier League,2425,Liverpool,Dominik Szoboszlai,HUN,MF,23,2000,27.7,1322,1202,118,21,5,14,41,36,17,9,6,0,1114,2,27
ENG-Premier League,2425,Liverpool,Federico Chiesa,ITA,FW,26,1997,1.2,31,30,1,0,0,0,2,1,0,0,0,0,27,0,1
ENG-Premier League,2425,Liverpool,Harvey Elliott,ENG,MF,21,2003,4.1,292,267,22,2,1,3,12,8,6,3,1,0,240,3,4
ENG-Premier League,2425,Liverpool,Ibrahima Konaté,FRA,DF,25,1999,28.4,1905,1856,46,41,1,5,0,5,0,0,0,0,1718,3,9
ENG-Premier League,2425,Liverpool,Jarell Quansah,ENG,DF,21,2003,5.5,392,360,32,10,0,1,2,12,0,0,0,0,356,0,2
