,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23,2001,1.1,3,3,2,1,0,3,4,75.0,1,1,0,1,0,3,1,0
ENG-Premier League,2425,Brighton,Brajan Gruda,GER,"MF,FW",20,2004,7.6,16,8,6,6,4,7,14,50.0,7,8,0,8,2,18,5,1
ENG-Premier League,2425,Brighton,Carlos Baleba,CMR,MF,20,2004,29.6,79,46,26,37,16,48,80,60.0,32,47,11,36,46,125,44,1
ENG-Premier League,2425,Brighton,Danny Welbeck,ENG,FW,33,1990,23.5,26,16,6,15,5,8,20,40.0,12,19,4,15,5,31,14,0
ENG-Premier League,2425,Brighton,Diego Gómez,PAR,MF,21,2003,5.7,21,13,11,8,2,12,22,54.5,10,13,0,13,8,29,10,1
ENG-Premier League,2425,Brighton,Eiran Cashin,IRL,DF,22,2001,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
ENG-Premier League,2425,Brighton,Evan Ferguson,IRL,FW,19,2004,2.7,4,3,0,3,1,2,5,40.0,3,3,1,2,0,4,4,0
ENG-Premier League,2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",24,1999,4.3,10,6,4,5,1,6,15,40.0,9,2,2,0,8,18,17,0
ENG-Premier League,2425,Brighton,Georginio Rutter,FRA,"MF,FW",22,2002,18.4,39,15,13,18,8,14,36,38.9,22,20,3,17,10,49,13,2
ENG-Premier League,2425,Brighton,Harry Howell,ENG,FW,15,2008,0.1,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,0,0
ENG-Premier League,2425,Brighton,Igor,BRA,DF,26,1998,10.7,5,5,2,2,1,4,10,40.0,6,24,14,10,4,9,39,1
ENG-Premier League,2425,Brighton,Jack Hinshelwood,ENG,"MF,DF",19,2005,20.5,27,19,8,10,9,11,27,40.7,16,10,3,7,16,43,37,1
ENG-Premier League,2425,Brighton,Jakub Moder,POL,MF,25,1999,0.1,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,3,0
ENG-Premier League,2425,Brighton,James Milner,ENG,MF,38,1986,1.9,5,2,1,3,1,3,3,100.0,0,4,2,2,2,7,2,1
ENG-Premier League,2425,Brighton,Jan Paul van Hecke,NED,DF,24,2000,32.9,45,29,24,19,2,23,41,56.1,18,37,22,15,24,69,142,2
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,33,1990,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2425,Brighton,Jeremy Sarmiento,ECU,MF,22,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,João Pedro,BRA,"FW,MF",22,2001,21.6,16,12,6,6,4,4,11,36.4,7,12,0,12,9,25,12,0
ENG-Premier League,2425,Brighton,Joël Veltman,NED,DF,32,1992,18.9,43,29,24,16,3,31,52,59.6,21,22,7,15,19,62,66,0
ENG-Premier League,2425,Brighton,Julio Enciso,PAR,"MF,FW",20,2004,3.3,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,1,0
ENG-Premier League,2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",27,1997,28.9,45,27,15,14,16,19,49,38.8,30,48,3,45,14,59,10,0
ENG-Premier League,2425,Brighton,Lewis Dunk,ENG,DF,32,1991,23.1,17,10,8,7,2,11,19,57.9,8,28,18,10,13,30,79,2
ENG-Premier League,2425,Brighton,Mats Wieffer,NED,"DF,MF",24,1999,11.3,58,34,27,27,4,32,47,68.1,15,18,2,16,17,75,28,3
ENG-Premier League,2425,Brighton,Matt O'Riley,DEN,MF,23,2000,10.4,16,9,4,8,4,4,13,30.8,9,7,3,4,13,29,9,1
ENG-Premier League,2425,Brighton,Pervis Estupiñán,ECU,DF,26,1998,26.7,65,43,33,25,7,34,51,66.7,17,20,5,15,37,102,65,2
ENG-Premier League,2425,Brighton,Simon Adingra,CIV,"FW,MF",22,2002,12.2,23,14,10,8,5,10,26,38.5,16,12,0,12,8,31,6,2
ENG-Premier League,2425,Brighton,Solly March,ENG,"FW,MF",30,1994,1.9,6,3,2,2,2,5,8,62.5,3,3,0,3,2,8,2,1
ENG-Premier League,2425,Brighton,Tariq Lamptey,GHA,DF,23,2000,9.6,17,11,8,9,0,9,25,36.0,16,15,7,8,7,24,23,1
ENG-Premier League,2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20,2004,20.4,48,35,25,13,10,17,45,37.8,28,22,0,22,11,59,31,0
ENG-Premier League,2425,Brighton,Yasin Ayari,SWE,MF,20,2003,21.8,59,32,15,31,13,26,56,46.4,30,24,6,18,20,79,26,0
ENG-Premier League,2425,Chelsea,Axel Disasi,FRA,DF,26,1998,4.0,7,4,5,1,1,6,11,54.5,5,4,1,3,2,9,11,1
ENG-Premier League,2425,Chelsea,Benoît Badiashile,FRA,DF,23,2001,3.7,9,6,5,4,0,4,5,80.0,1,2,2,0,6,15,12,2
ENG-Premier League,2425,Chelsea,Christopher Nkunku,FRA,FW,26,1997,10.2,12,8,3,4,5,6,8,75.0,2,9,2,7,7,19,10,0
ENG-Premier League,2425,Chelsea,Cole Palmer,ENG,"MF,FW",22,2002,35.5,34,20,12,10,12,12,27,44.4,15,16,1,15,11,45,20,1
ENG-Premier League,2425,Chelsea,Enzo Fernández,ARG,MF,23,2001,32.7,65,33,17,30,18,31,84,36.9,53,43,7,36,13,78,23,4
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22,2002,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3
ENG-Premier League,2425,Chelsea,Jadon Sancho,ENG,FW,24,2000,19.6,13,7,3,3,7,5,12,41.7,7,11,0,11,2,15,8,2
ENG-Premier League,2425,Chelsea,Joshua Acheampong,ENG,DF,18,2006,1.9,2,1,2,0,0,2,2,100.0,0,1,0,1,1,3,2,0
ENG-Premier League,2425,Chelsea,João Félix,POR,"FW,MF",24,1999,4.1,8,3,2,5,1,5,9,55.6,4,2,0,2,3,11,2,0
ENG-Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,ENG,"MF,FW",25,1998,2.9,8,5,1,1,6,4,6,66.7,2,2,0,2,2,10,9,1
ENG-Premier League,2425,Chelsea,Levi Colwill,ENG,DF,21,2003,35.0,47,34,25,19,3,18,27,66.7,9,37,25,12,33,80,118,4
ENG-Premier League,2425,Chelsea,Malo Gusto,FRA,DF,21,2003,20.7,45,29,27,15,3,25,48,52.1,23,29,8,21,24,69,49,5
ENG-Premier League,2425,Chelsea,Marc Cucurella,ESP,DF,26,1998,33.2,67,45,31,31,5,32,61,52.5,29,49,16,33,28,95,95,3
ENG-Premier League,2425,Chelsea,Marc Guiu,ESP,FW,18,2006,0.8,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
ENG-Premier League,2425,Chelsea,Mathis Amougou,FRA,MF,18,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Moisés Caicedo,ECU,"MF,DF",22,2001,37.2,114,73,44,54,16,54,86,62.8,32,49,10,39,49,163,60,1
ENG-Premier League,2425,Chelsea,Mykhailo Mudryk,UKR,FW,23,2001,1.7,2,2,2,0,0,0,0,,0,3,1,2,0,2,1,0
ENG-Premier League,2425,Chelsea,Nicolas Jackson,SEN,FW,23,2001,24.7,22,13,6,7,9,5,10,50.0,5,15,2,13,3,25,15,0
ENG-Premier League,2425,Chelsea,Noni Madueke,ENG,FW,22,2002,22.6,25,18,8,12,5,14,38,36.8,24,17,0,17,10,35,11,0
ENG-Premier League,2425,Chelsea,Pedro Neto,POR,FW,24,2000,25.2,23,9,9,9,5,9,21,42.9,12,14,2,12,9,32,6,0
ENG-Premier League,2425,Chelsea,Reece James,ENG,"DF,MF",24,1999,11.8,10,9,6,3,1,3,9,33.3,6,14,6,8,13,23,23,4
ENG-Premier League,2425,Chelsea,Renato Veiga,POR,"DF,MF",21,2003,2.0,9,6,6,3,0,4,12,33.3,8,3,1,2,1,10,2,0
ENG-Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,26,1997,32.0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,24,10
ENG-Premier League,2425,Chelsea,Roméo Lavia,BEL,MF,20,2004,8.9,22,13,5,13,4,10,21,47.6,11,6,0,6,16,38,10,1
ENG-Premier League,2425,Chelsea,Shumaira Mheuka,ENG,MF,16,2007,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Tosin Adarabioyo,ENG,DF,26,1997,15.7,17,13,11,6,0,8,12,66.7,4,9,7,2,11,28,80,0
ENG-Premier League,2425,Chelsea,Trevoh Chalobah,ENG,DF,25,1999,10.1,11,7,5,6,0,7,8,87.5,1,6,3,3,10,21,48,1
ENG-Premier League,2425,Chelsea,Tyrique George,ENG,FW,18,2006,2.0,2,0,2,0,0,2,3,66.7,1,1,0,1,2,4,1,0
ENG-Premier League,2425,Chelsea,Wesley Fofana,FRA,DF,23,2000,13.0,13,12,6,7,0,6,14,42.9,8,14,9,5,14,27,55,2
ENG-Premier League,2425,Crystal Palace,Adam Wharton,ENG,MF,20,2004,14.6,34,14,14,16,4,17,44,38.6,27,11,2,9,20,54,27,0
ENG-Premier League,2425,Crystal Palace,Asher Agbinone,ENG,MF,18,2005,0.1,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0
ENG-Premier League,2425,Crystal Palace,Ben Chilwell,ENG,DF,27,1996,2.9,7,6,4,3,0,1,5,20.0,4,6,2,4,6,13,16,0
ENG-Premier League,2425,Crystal Palace,Caleb Kporha,ENG,DF,18,2006,0.1,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,1,0
ENG-Premier League,2425,Crystal Palace,Chadi Riad,MAR,DF,21,2003,1.0,5,2,2,2,1,2,3,66.7,1,0,0,0,2,7,0,0
ENG-Premier League,2425,Crystal Palace,Cheick Doucouré,MLI,MF,24,2000,5.0,16,8,6,8,2,5,11,45.5,6,4,0,4,11,27,10,1
ENG-Premier League,2425,Crystal Palace,Chris Richards,USA,DF,24,2000,21.4,47,30,24,18,5,24,41,58.5,17,40,14,26,19,66,121,0
ENG-Premier League,2425,Crystal Palace,Daichi Kamada,JPN,MF,27,1996,17.4,47,29,19,24,4,14,41,34.1,27,22,5,17,18,65,14,0
ENG-Premier League,2425,Crystal Palace,Daniel Muñoz,COL,DF,28,1996,35.9,123,80,57,41,25,55,97,56.7,42,40,6,34,44,167,108,1
ENG-Premier League,2425,Crystal Palace,Dean Henderson,ENG,GK,27,1997,38.0,2,1,2,0,0,2,6,33.3,4,0,0,0,0,2,22,0
ENG-Premier League,2425,Crystal Palace,Eberechi Eze,ENG,"MF,FW",26,1998,28.8,39,22,14,16,9,17,36,47.2,19,27,0,27,11,50,10,3
ENG-Premier League,2425,Crystal Palace,Eddie Nketiah,ENG,"FW,MF",25,1999,11.5,15,8,7,4,4,7,13,53.8,6,10,1,9,3,18,12,0
ENG-Premier League,2425,Crystal Palace,Ismaila Sarr,SEN,MF,26,1998,30.1,22,10,10,9,3,8,25,32.0,17,27,8,19,9,31,40,0
ENG-Premier League,2425,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27,1997,29.4,18,12,5,11,2,3,16,18.8,13,19,4,15,2,20,23,0
ENG-Premier League,2425,Crystal Palace,Jefferson Lerma,COL,"MF,DF",29,1994,25.3,35,17,15,16,4,19,36,52.8,17,38,18,20,42,77,80,1
ENG-Premier League,2425,Crystal Palace,Jeffrey Schlupp,GHA,"MF,DF",31,1992,1.1,2,0,1,0,1,0,3,0.0,3,6,0,6,0,2,2,0
ENG-Premier League,2425,Crystal Palace,Joachim Andersen,DEN,DF,28,1996,1.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,7,0
ENG-Premier League,2425,Crystal Palace,Joel Ward,ENG,DF,34,1989,0.8,2,0,0,2,0,0,0,,0,0,0,0,0,2,3,0
ENG-Premier League,2425,Crystal Palace,Jordan Ayew,GHA,"FW,MF",32,1991,0.2,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
ENG-Premier League,2425,Crystal Palace,Justin Devenny,NIR,MF,20,2003,5.6,17,12,7,9,1,8,19,42.1,11,6,1,5,0,17,11,0
ENG-Premier League,2425,Crystal Palace,Marc Guéhi,ENG,DF,24,2000,34.0,61,34,36,23,2,31,47,66.0,16,55,23,32,28,89,163,2
ENG-Premier League,2425,Crystal Palace,Matheus França,BRA,"MF,FW",20,2004,0.6,2,0,0,2,0,0,0,,0,1,1,0,1,3,1,0
ENG-Premier League,2425,Crystal Palace,Maxence Lacroix,FRA,DF,24,2000,34.6,68,41,52,15,1,32,47,68.1,15,48,22,26,54,122,207,2
ENG-Premier League,2425,Crystal Palace,Nathaniel Clyne,ENG,"DF,MF",33,1991,5.4,12,8,8,3,1,6,11,54.5,5,4,2,2,3,15,14,1
ENG-Premier League,2425,Crystal Palace,Odsonne Édouard,FRA,"MF,FW",26,1998,1.3,1,0,0,1,0,0,2,0.0,2,1,0,1,0,1,1,0
ENG-Premier League,2425,Crystal Palace,Romain Esse,ENG,MF,19,2005,1.5,9,6,4,3,2,5,5,100.0,0,2,0,2,1,10,2,0
ENG-Premier League,2425,Crystal Palace,Trevoh Chalobah,ENG,DF,25,1999,11.8,20,16,7,12,1,12,23,52.2,11,19,9,10,19,39,57,3
ENG-Premier League,2425,Crystal Palace,Tyrick Mitchell,ENG,DF,24,1999,34.4,91,55,57,27,7,25,46,54.3,21,68,12,56,19,110,108,2
ENG-Premier League,2425,Crystal Palace,Will Hughes,ENG,MF,29,1995,23.4,66,36,20,33,13,28,62,45.2,34,31,14,17,22,88,28,3
ENG-Premier League,2425,Everton,Abdoulaye Doucouré,MLI,MF,31,1993,28.5,48,28,21,20,7,14,43,32.6,29,31,6,25,10,58,20,1
ENG-Premier League,2425,Everton,Armando Broja,ALB,FW,22,2001,3.7,3,1,1,1,1,0,0,,0,3,0,3,1,4,4,0
ENG-Premier League,2425,Everton,Ashley Young,ENG,DF,39,1985,20.8,58,33,25,25,8,35,57,61.4,22,14,4,10,25,83,64,2
ENG-Premier League,2425,Everton,Beto,GNB,FW,26,1998,17.0,14,6,2,8,4,5,8,62.5,3,12,2,10,4,18,24,1
ENG-Premier League,2425,Everton,Carlos Alcaraz,ARG,"FW,MF",21,2002,8.5,11,5,5,3,3,3,11,27.3,8,9,2,7,5,16,10,0
ENG-Premier League,2425,Everton,Dominic Calvert-Lewin,ENG,FW,27,1997,17.9,9,7,1,4,4,2,6,33.3,4,7,2,5,7,16,23,0
ENG-Premier League,2425,Everton,Dwight McNeil,ENG,"MF,FW",24,1999,15.2,13,8,6,5,2,9,21,42.9,12,7,0,7,6,19,2,1
ENG-Premier League,2425,Everton,Harrison Armstrong,ENG,MF,17,2007,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
ENG-Premier League,2425,Everton,Idrissa Gana Gueye,SEN,MF,34,1989,34.0,133,80,61,55,17,58,99,58.6,41,48,9,39,48,181,36,1
ENG-Premier League,2425,Everton,Iliman Ndiaye,SEN,FW,24,2000,27.0,53,28,20,16,17,22,49,44.9,27,30,5,25,20,73,24,1
ENG-Premier League,2425,Everton,Jack Harrison,ENG,FW,27,1996,23.1,32,22,12,12,8,15,46,32.6,31,18,2,16,10,42,35,2
ENG-Premier League,2425,Everton,Jake O'Brien,IRL,DF,23,2001,17.5,26,17,21,5,0,17,25,68.0,8,17,4,13,4,30,93,0
ENG-Premier League,2425,Everton,James Garner,ENG,"MF,DF",23,2001,17.7,47,31,25,20,2,24,41,58.5,17,20,4,16,23,70,37,0
ENG-Premier League,2425,Everton,James Tarkowski,ENG,DF,31,1992,32.5,64,40,39,22,3,24,39,61.5,15,57,42,15,41,105,213,4
ENG-Premier League,2425,Everton,Jarrad Branthwaite,ENG,DF,22,2002,27.9,36,20,26,10,0,20,28,71.4,8,31,23,8,27,63,191,4
ENG-Premier League,2425,Everton,Jesper Lindstrøm,DEN,FW,24,2000,13.8,45,25,24,19,2,19,55,34.5,36,15,3,12,12,57,17,0
ENG-Premier League,2425,Everton,Jordan Pickford,ENG,GK,30,1994,38.0,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,30,2
ENG-Premier League,2425,Everton,Mason Holgate,JAM,"FW,DF",27,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Everton,Michael Keane,ENG,DF,31,1993,11.7,12,9,8,2,2,8,15,53.3,7,14,10,4,16,28,65,2
ENG-Premier League,2425,Everton,Nathan Patterson,SCO,DF,22,2001,3.9,11,6,7,4,0,7,14,50.0,7,2,0,2,2,13,7,0
ENG-Premier League,2425,Everton,Orel Mangala,BEL,MF,26,1998,14.0,16,8,3,11,2,5,8,62.5,3,8,3,5,21,37,24,1
ENG-Premier League,2425,Everton,Roman Dixon,ENG,DF,19,2004,1.0,5,5,3,2,0,4,4,100.0,0,1,0,1,1,6,3,0
ENG-Premier League,2425,Everton,Séamus Coleman,IRL,DF,35,1988,2.4,3,2,2,1,0,3,4,75.0,1,5,3,2,1,4,8,0
ENG-Premier League,2425,Everton,Tim Iroegbunam,ENG,MF,21,2003,6.4,29,14,14,10,5,14,23,60.9,9,18,4,14,16,45,12,1
ENG-Premier League,2425,Everton,Vitaliy Mykolenko,UKR,DF,25,1999,34.2,63,38,39,14,10,29,56,51.8,27,25,10,15,44,107,145,2
ENG-Premier League,2425,Everton,Youssef Chermiti,POR,"FW,MF",20,2004,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
ENG-Premier League,2425,Fulham,Adama Traoré,ESP,"FW,MF",28,1996,19.7,20,13,9,6,5,5,13,38.5,8,7,0,7,1,21,6,4
ENG-Premier League,2425,Fulham,Alex Iwobi,NGA,"FW,MF",28,1996,33.1,44,25,14,21,9,22,34,64.7,12,26,1,25,14,58,29,1
ENG-Premier League,2425,Fulham,Andreas Pereira,BRA,MF,28,1996,22.4,24,13,8,11,5,10,42,23.8,32,17,2,15,8,32,17,3
ENG-Premier League,2425,Fulham,Antonee Robinson,USA,DF,26,1997,35.2,95,61,57,31,7,45,95,47.4,50,43,9,34,62,157,133,2
ENG-Premier League,2425,Fulham,Bernd Leno,GER,GK,32,1992,38.0,2,2,2,0,0,2,2,100.0,0,1,0,1,0,2,11,5
ENG-Premier League,2425,Fulham,Calvin Bassey,NGA,DF,24,1999,34.2,54,34,35,19,0,22,31,71.0,9,40,17,23,20,74,118,8
ENG-Premier League,2425,Fulham,Carlos Vinícius,BRA,"MF,FW",29,1995,0.2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
ENG-Premier League,2425,Fulham,Emile Smith Rowe,ENG,MF,24,2000,22.7,31,18,7,14,10,8,24,33.3,16,22,2,20,11,42,16,0
ENG-Premier League,2425,Fulham,Harrison Reed,ENG,MF,29,1995,1.2,6,3,3,2,1,1,3,33.3,2,1,0,1,1,7,3,0
ENG-Premier League,2425,Fulham,Harry Wilson,WAL,"FW,MF",27,1997,12.9,20,14,13,3,4,12,18,66.7,6,15,1,14,7,27,10,1
ENG-Premier League,2425,Fulham,Issa Diop,FRA,DF,27,1997,14.9,26,12,18,8,0,13,18,72.2,5,10,7,3,9,35,72,2
ENG-Premier League,2425,Fulham,Jay Stansfield,ENG,MF,21,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Fulham,Joachim Andersen,DEN,DF,28,1996,28.7,27,18,20,6,1,15,24,62.5,9,37,28,9,34,61,188,1
ENG-Premier League,2425,Fulham,Jorge Cuenca,ESP,DF,24,1999,3.9,6,2,5,1,0,3,8,37.5,5,4,4,0,2,8,26,0
ENG-Premier League,2425,Fulham,Joshua King,ENG,MF,17,2007,1.4,7,5,3,4,0,0,3,0.0,3,3,0,3,1,8,1,0
ENG-Premier League,2425,Fulham,Kenny Tete,NED,DF,28,1995,19.7,56,38,29,14,13,23,38,60.5,15,31,12,19,32,88,67,0
ENG-Premier League,2425,Fulham,Martial Godo,ENG,"FW,DF",21,2003,0.3,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
ENG-Premier League,2425,Fulham,Raúl Jiménez,MEX,FW,33,1991,27.7,35,24,9,17,9,8,22,36.4,14,21,5,16,10,45,23,3
ENG-Premier League,2425,Fulham,Reiss Nelson,ENG,FW,24,1999,5.4,8,6,3,3,2,5,13,38.5,8,11,0,11,5,13,2,0
ENG-Premier League,2425,Fulham,Rodrigo Muniz,BRA,FW,23,2001,10.7,10,5,3,5,2,4,4,100.0,0,9,2,7,5,15,14,0
ENG-Premier League,2425,Fulham,Ryan Sessegnon,ENG,"FW,DF",24,2000,6.4,27,13,11,11,5,9,20,45.0,11,13,1,12,3,30,18,0
ENG-Premier League,2425,Fulham,Sander Berge,NOR,MF,26,1998,24.7,50,30,23,23,4,27,39,69.2,12,27,8,19,21,71,38,1
ENG-Premier League,2425,Fulham,Saša Lukić,SRB,MF,27,1996,26.0,68,39,22,40,6,23,55,41.8,32,20,7,13,28,96,35,1
ENG-Premier League,2425,Fulham,Timothy Castagne,BEL,DF,28,1995,18.3,46,29,28,15,3,26,45,57.8,19,15,6,9,22,68,83,0
ENG-Premier League,2425,Fulham,Tom Cairney,SCO,MF,33,1991,7.0,13,5,5,2,6,4,7,57.1,3,7,1,6,4,17,3,1
ENG-Premier League,2425,Fulham,Willian,BRA,"FW,MF",35,1988,2.9,4,2,0,3,1,2,6,33.3,4,0,0,0,1,5,1,0
ENG-Premier League,2425,Ipswich Town,Alex Palmer,ENG,GK,27,1996,13.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,0
ENG-Premier League,2425,Ipswich Town,Ali Al Hamadi,IRQ,FW,22,2002,1.5,1,0,0,0,1,0,2,0.0,2,0,0,0,0,1,2,0
ENG-Premier League,2425,Ipswich Town,Arijanet Muric,KVX,GK,25,1998,18.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,10,5
ENG-Premier League,2425,Ipswich Town,Axel Tuanzebe,COD,DF,26,1997,19.0,31,19,21,4,6,17,26,65.4,9,21,10,11,23,54,56,1
ENG-Premier League,2425,Ipswich Town,Ben Godfrey,ENG,DF,26,1998,1.8,1,0,1,0,0,1,1,100.0,0,1,1,0,2,3,3,0
ENG-Premier League,2425,Ipswich Town,Ben Johnson,ENG,"DF,FW",24,2000,15.0,38,22,23,12,3,20,41,48.8,21,22,5,17,13,51,54,1
ENG-Premier League,2425,Ipswich Town,Cameron Burgess,AUS,DF,28,1995,17.1,17,12,14,3,0,9,11,81.8,2,20,15,5,14,31,128,3
ENG-Premier League,2425,Ipswich Town,Chiedozie Ogbene,IRL,FW,27,1997,2.6,7,3,1,2,4,2,4,50.0,2,1,0,1,1,8,3,0
ENG-Premier League,2425,Ipswich Town,Christian Walton,ENG,GK,28,1995,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,1
ENG-Premier League,2425,Ipswich Town,Conor Chaplin,ENG,"MF,FW",27,1997,9.5,15,5,6,6,3,6,14,42.9,8,8,1,7,4,19,3,0
ENG-Premier League,2425,Ipswich Town,Conor Townsend,ENG,DF,31,1993,3.7,11,8,9,2,0,8,11,72.7,3,8,6,2,4,15,16,0
ENG-Premier League,2425,Ipswich Town,Dara O'Shea,IRL,DF,25,1999,34.7,49,31,33,13,3,22,34,64.7,12,62,50,12,33,82,225,4
ENG-Premier League,2425,Ipswich Town,George Edmundson,ENG,DF,26,1997,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Ipswich Town,George Hirst,SCO,FW,25,1999,7.3,3,3,1,0,2,1,4,25.0,3,1,1,0,2,5,10,0
ENG-Premier League,2425,Ipswich Town,Harry Clarke,ENG,DF,23,2001,4.2,5,3,3,2,0,3,6,50.0,3,5,4,1,4,9,14,3
ENG-Premier League,2425,Ipswich Town,Jack Clarke,ENG,"FW,MF",23,2000,13.1,32,20,11,10,11,17,34,50.0,17,9,0,9,7,39,29,2
ENG-Premier League,2425,Ipswich Town,Jack Taylor,IRL,MF,26,1998,9.6,20,10,6,11,3,12,27,44.4,15,12,3,9,9,29,24,0
ENG-Premier League,2425,Ipswich Town,Jacob Greaves,ENG,DF,23,2000,24.5,40,21,20,17,3,22,35,62.9,13,41,26,15,21,61,148,3
ENG-Premier League,2425,Ipswich Town,Jaden Philogene Bidace,ENG,"FW,DF",22,2002,5.3,14,7,6,6,2,8,15,53.3,7,11,1,10,10,24,9,1
ENG-Premier League,2425,Ipswich Town,Jens Cajuste,SWE,MF,24,1999,21.8,44,22,19,23,2,21,49,42.9,28,25,10,15,28,72,33,2
ENG-Premier League,2425,Ipswich Town,Julio Enciso,PAR,"MF,FW",20,2004,9.7,12,9,3,6,3,4,11,36.4,7,8,1,7,1,13,6,0
ENG-Premier League,2425,Ipswich Town,Kalvin Phillips,ENG,MF,28,1995,13.7,35,19,8,20,7,15,39,38.5,24,35,6,29,19,54,37,2
ENG-Premier League,2425,Ipswich Town,Leif Davis,ENG,DF,24,2000,30.5,46,27,33,9,4,30,48,62.5,18,25,8,17,25,71,77,3
ENG-Premier League,2425,Ipswich Town,Liam Delap,ENG,FW,21,2003,28.8,11,8,3,3,5,2,15,13.3,13,8,0,8,2,13,28,0
ENG-Premier League,2425,Ipswich Town,Luke Woolfenden,ENG,DF,25,1998,13.2,9,6,5,4,0,2,5,40.0,3,21,14,7,19,28,76,0
ENG-Premier League,2425,Ipswich Town,Marcus Harness,ENG,MF,28,1996,0.5,1,0,0,0,1,0,3,0.0,3,2,1,1,0,1,1,0
ENG-Premier League,2425,Ipswich Town,Massimo Luongo,AUS,MF,31,1992,2.2,9,6,6,2,1,5,8,62.5,3,4,2,2,2,11,2,0
ENG-Premier League,2425,Ipswich Town,Nathan Broadhead,WAL,"MF,FW",26,1998,7.8,9,4,3,6,0,3,12,25.0,9,8,1,7,4,13,5,0
ENG-Premier League,2425,Ipswich Town,Omari Hutchinson,ENG,"MF,FW",20,2003,28.7,32,13,14,10,8,13,48,27.1,35,27,2,25,11,43,15,1
ENG-Premier League,2425,Ipswich Town,Sam Morsy,EGY,MF,32,1991,30.6,68,41,40,24,4,27,62,43.5,35,34,13,21,29,97,47,5
ENG-Premier League,2425,Ipswich Town,Sammie Szmodics,IRL,"FW,MF",28,1995,11.0,16,10,4,10,2,7,26,26.9,19,10,2,8,6,22,14,0
ENG-Premier League,2425,Ipswich Town,Wes Burns,WAL,"FW,DF",29,1994,10.3,13,11,1,9,3,4,10,40.0,6,7,2,5,10,23,13,2
ENG-Premier League,2425,Leicester City,Abdul Fatawu Issahaku,GHA,FW,20,2004,6.4,21,15,13,2,6,11,19,57.9,8,7,0,7,4,25,12,0
ENG-Premier League,2425,Leicester City,Bilal El Khannouss,MAR,"MF,FW",20,2004,24.2,50,30,16,29,5,17,32,53.1,15,22,4,18,6,56,10,3
ENG-Premier League,2425,Leicester City,Bobby De Cordova-Reid,JAM,FW,31,1993,8.3,9,4,3,6,0,4,14,28.6,10,6,1,5,0,9,10,0
ENG-Premier League,2425,Leicester City,Boubakary Soumaré,FRA,MF,25,1999,24.1,37,20,24,12,1,21,33,63.6,12,22,10,12,27,64,34,4
ENG-Premier League,2425,Leicester City,Caleb Okoli,ITA,DF,23,2001,12.5,25,14,8,15,2,11,18,61.1,7,24,14,10,15,40,79,3
